,index,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
10,heart,1.0,1.0,1.0,11.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,11.0
11,breast,0.975609756097561,0.975609756097561,0.975609756097561,41.0,0.9534883720930233,1.0,0.9761904761904763,41.0,1.0,1.0,1.0,41.0,0.9318181818181818,1.0,0.9647058823529412,41.0
12,head/neck artery,0.7664233576642335,0.7446808510638298,0.7553956834532374,141.0,0.7596899224806202,0.6950354609929078,0.725925925925926,141.0,0.7906976744186046,0.723404255319149,0.7555555555555555,141.0,0.7307692307692307,0.6737588652482269,0.7011070110701108,141.0
13,maltiple sclerosis,0.5454545454545454,0.2608695652173913,0.3529411764705882,23.0,0.7777777777777778,0.30434782608695654,0.43750000000000006,23.0,0.5454545454545454,0.2608695652173913,0.3529411764705882,23.0,0.6363636363636364,0.30434782608695654,0.411764705882353,23.0
14,brainstem,0.8148148148148148,0.38596491228070173,0.5238095238095238,57.0,0.8529411764705882,0.5087719298245614,0.6373626373626374,57.0,0.896551724137931,0.45614035087719296,0.6046511627906976,57.0,0.8,0.49122807017543857,0.6086956521739131,57.0
15,epilepsy,0.7777777777777778,0.6086956521739131,0.6829268292682927,23.0,0.7333333333333333,0.4782608695652174,0.5789473684210527,23.0,0.7647058823529411,0.5652173913043478,0.65,23.0,0.9166666666666666,0.4782608695652174,0.6285714285714286,23.0
16,jaw,1.0,1.0,1.0,11.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,11.0
17,orbital tumor,0.6,0.6666666666666666,0.631578947368421,18.0,0.8,0.6666666666666666,0.7272727272727272,18.0,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0,0.7142857142857143,0.5555555555555556,0.6250000000000001,18.0
18,general brain,0.7901990811638591,0.8256,0.8075117370892018,625.0,0.7644444444444445,0.8256,0.7938461538461538,625.0,0.7752976190476191,0.8336,0.8033924441017734,625.0,0.7734724292101341,0.8304,0.800925925925926,625.0
19,optinc nerve,0.25,1.0,0.4,1.0,0.5,1.0,0.6666666666666666,1.0,0.5,1.0,0.6666666666666666,1.0,0.5,1.0,0.6666666666666666,1.0
20,newborn brain,0.8620689655172413,0.7575757575757576,0.8064516129032258,33.0,0.8333333333333334,0.7575757575757576,0.7936507936507938,33.0,0.8125,0.7878787878787878,0.8,33.0,0.7714285714285715,0.8181818181818182,0.7941176470588236,33.0
21,carotid plaque/artery dissection,0.6410256410256411,0.5617977528089888,0.5988023952095809,89.0,0.6046511627906976,0.5842696629213483,0.5942857142857143,89.0,0.6707317073170732,0.6179775280898876,0.6432748538011696,89.0,0.5903614457831325,0.550561797752809,0.5697674418604651,89.0
22,pituitaly gland,0.9051724137931034,0.9292035398230089,0.9170305676855894,113.0,0.8974358974358975,0.9292035398230089,0.9130434782608695,113.0,0.9051724137931034,0.9292035398230089,0.9170305676855894,113.0,0.859504132231405,0.9203539823008849,0.888888888888889,113.0
23,brian metastasis,0.9408602150537635,0.9358288770053476,0.938337801608579,187.0,0.9553072625698324,0.9144385026737968,0.9344262295081966,187.0,0.967032967032967,0.9411764705882353,0.953929539295393,187.0,0.9456521739130435,0.93048128342246,0.9380053908355794,187.0
24,brain tumor/encephalitis,0.7155963302752294,0.7597402597402597,0.737007874015748,308.0,0.7261146496815286,0.7402597402597403,0.7331189710610932,308.0,0.7147239263803681,0.7564935064935064,0.7350157728706624,308.0,0.7101910828025477,0.724025974025974,0.7170418006430868,308.0
25,vestibulocochlear,0.7478991596638656,0.7739130434782608,0.7606837606837608,115.0,0.7563025210084033,0.782608695652174,0.7692307692307693,115.0,0.7711864406779662,0.7913043478260869,0.7811158798283262,115.0,0.7355371900826446,0.7739130434782608,0.7542372881355932,115.0
26,dementia,0.803030303030303,0.8907563025210085,0.844621513944223,119.0,0.8046875,0.865546218487395,0.834008097165992,119.0,0.84,0.8823529411764706,0.860655737704918,119.0,0.8046875,0.865546218487395,0.834008097165992,119.0
